system:index,Npp,Npp_QC,Sbsp,ag__,ath_,athr,dtty,frbs,fung,grmn,hrst,lchn,moss,sesn,shrb,sym_,tree,vscl,year,.geo
2010_01_01_00000000000000000089,777.0,24.0,4-Woodland,,Bergerud 1972,Bergerud,rumen,12.0,12.0,10.0,,40.0,5.0,3-Autumn,21.0,1,0.0,33.0,2010.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2010_01_01_0000000000000000008a,777.0,24.0,4-Woodland,,Bergerud 1972,Bergerud,rumen,0.0,,7.0,,56.0,6.0,4-Winter,26.0,1,4.0,30.0,2010.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2010_01_01_0000000000000000008b,2394.0,36.0,2-Barren Ground,,Thomas and Hervieux 1986,Thomas and Hervieux,rumen,0.0,,,,68.5,4.9,4-Winter,5.2,1,11.9,17.1,2010.0,"{""type"":""Point"",""coordinates"":[124.00000198813481,64.00000145766]}"
2010_01_01_0000000000000000008c,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,20.93,,46.35,6.44,4-Winter,26.25,1,0.0,26.25,2010.0,"{""type"":""Point"",""coordinates"":[-26.459997973175156,69.58000012021373]}"
2010_01_01_0000000000000000008d,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,30.2,,42.58,2.352,2-Summer,24.92,1,0.0,24.92,2010.0,"{""type"":""Point"",""coordinates"":[-26.459997973175156,69.58000012021373]}"
2010_01_01_0000000000000000008e,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,32.76,,33.62,3.696,4-Winter,30.8,1,0.0,30.8,2010.0,"{""type"":""Point"",""coordinates"":[-26.9999995698485,68.80000078664182]}"
2010_01_01_0000000000000000008f,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,36.19,,32.95,2.912,2-Summer,28.4,1,0.0,28.4,2010.0,"{""type"":""Point"",""coordinates"":[-26.9999995698485,68.80000078664182]}"
2010_01_01_00000000000000000090,,,5-Reindeer,,Bezard et al 2015,Bezard et al,fecal,0.0,,20.94,,37.4,3.528,2-Summer,37.85,1,0.0,37.85,2010.0,"{""type"":""Point"",""coordinates"":[-26.38000170027633,69.48000031998914]}"
2010_01_01_00000000000000000091,,,5-Reindeer,,Mathiesen et al 1999,Mathiesen et al,rumen,48.5,0.4,16.7,,10.8,4.2,2-Summer,17.6,0,0.0,66.1,2010.0,"{""type"":""Point"",""coordinates"":[-20.99999817907071,69.00000038709096]}"
2010_01_01_00000000000000000092,,,5-Reindeer,,Mathiesen et al 1999,Mathiesen et al,rumen,8.41,0.0,12.7,,36.2,6.3,4-Winter,36.01,0,0.0,44.42,2010.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2010_01_01_0000000000000000002f,2090.0,37.0,2-Barren Ground,9.0,Gustine et al. 2014,Gustine et al.,fecal,1.0,,1.0,,90.0,4.0,4-Winter,4.0,1,0.0,5.0,2010.0,"{""type"":""Point"",""coordinates"":[116.99999813601018,69.00000038709096]}"
2010_01_01_0000000000000000001b,2173.0,24.0,2-Barren Ground,7.3,Gustine et al. 2012,Gustine et al.,fecal,1.0,,6.0,,76.0,9.0,4-Winter,7.0,3,0.0,8.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2010_01_01_0000000000000000001c,2173.0,24.0,2-Barren Ground,7.3,Gustine et al. 2012,Gustine et al.,fecal,0.0,,9.0,,61.0,24.0,4-Winter,7.0,3,0.0,7.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2010_01_01_0000000000000000001d,2173.0,24.0,2-Barren Ground,7.3,Gustine et al. 2012,Gustine et al.,fecal,13.0,,7.0,,47.0,23.0,4-Winter,10.0,3,0.0,23.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2010_01_01_00000000000000000025,2173.0,24.0,2-Barren Ground,7.3,Gustine et al. 2014,Gustine et al.,fecal,1.0,,6.0,,76.0,9.0,4-Winter,8.0,3,0.0,9.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2010_01_01_00000000000000000026,2173.0,24.0,2-Barren Ground,7.3,Gustine et al. 2014,Gustine et al.,fecal,0.0,,9.0,,61.0,24.0,4-Winter,7.0,3,0.0,7.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2010_01_01_00000000000000000027,2173.0,24.0,2-Barren Ground,7.3,Gustine et al. 2014,Gustine et al.,fecal,13.0,,7.0,,47.0,24.0,4-Winter,10.0,3,0.0,23.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2010_01_01_00000000000000000008,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.6,,13.9,3.5,56.2,10.4,5-Spring,14.3,0,0.0,15.9,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000009,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.7,,13.8,6.7,49.0,4.4,1-Calving,23.3,2,0.0,26.0,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_0000000000000000000a,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,3.4,,14.1,3.2,62.3,2.1,2-Summer,14.9,2,0.0,18.3,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_0000000000000000000b,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.7,,7.9,0.0,81.3,2.7,3-Autumn,7.5,2,0.0,9.2,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_0000000000000000000c,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.9,,15.3,1.2,71.8,5.4,4-Winter,6.3,2,0.0,7.2,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_0000000000000000000d,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.4,,11.1,4.3,65.1,8.6,5-Spring,5.0,2,0.0,7.4,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_0000000000000000000e,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.8,,32.4,0.9,36.8,0.6,1-Calving,28.3,2,0.0,29.1,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_0000000000000000000f,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.8,,40.3,1.2,24.1,0.6,2-Summer,31.7,2,0.0,33.5,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000010,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.3,,12.4,5.7,68.7,3.6,3-Autumn,5.3,2,0.0,7.6,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000011,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.16,,12.5,0.2,71.9,9.4,4-Winter,4.6,2,0.0,4.76,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000012,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.3,,10.3,4.4,68.8,7.3,5-Spring,7.9,2,0.0,9.2,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000013,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.2,,10.4,0.0,38.9,3.4,1-Calving,46.1,2,0.0,47.3,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000014,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.8,,4.8,0.0,76.6,3.1,4-Winter,12.7,2,0.0,15.5,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000015,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,1.0,,12.1,14.2,56.0,8.2,5-Spring,6.1,2,0.0,7.1,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000016,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.6,,17.9,8.5,49.4,4.8,1-Calving,15.5,2,0.0,16.1,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000017,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,3.0,,5.3,7.2,48.8,5.9,2-Summer,20.9,2,0.0,23.9,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000018,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,0.0,,3.1,0.0,76.0,13.3,4-Winter,7.7,2,0.0,7.7,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000019,2403.0,40.0,6-Introduced-Reindeer,10.1,Finstand and Kielland 2011,Finstand and Kielland,fecal,2.3,,16.7,4.4,31.4,1.8,1-Calving,42.8,2,0.0,45.1,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000032,2403.0,40.0,6-Introduced-Reindeer,10.1,Ihl and Klein 2001,Ihl and Klein,fecal,12.0,,7.2,15.3,55.5,7.0,4-Winter,2.9,2,0.0,14.9,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_00000000000000000033,2403.0,40.0,6-Introduced-Reindeer,10.1,Ihl and Klein 2001,Ihl and Klein,fecal,8.4,,12.1,7.0,53.6,10.4,4-Winter,8.6,2,0.0,17.0,2010.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2010_01_01_0000000000000000003e,671.0,46.0,5-Reindeer,14.1,Kazmin et al 2011,Kazmin et al,fecal,0.0,,22.4,,0.0,7.4,2-Summer,43.1,1,0.0,43.1,2010.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2010_01_01_0000000000000000003f,671.0,46.0,5-Reindeer,14.1,Kazmin et al 2011,Kazmin et al,fecal,0.0,,15.9,,0.0,4.5,3-Autumn,37.9,1,0.0,37.9,2010.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2010_01_01_00000000000000000040,671.0,46.0,5-Reindeer,14.1,Kazmin et al 2011,Kazmin et al,fecal,0.0,,6.3,,0.0,18.1,4-Winter,49.6,1,0.0,49.6,2010.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2010_01_01_00000000000000000059,671.0,46.0,5-Reindeer,14.1,Rozenfield et al 2012,Rozenfield et al,fecal,0.065,,18.37,0.0,19.3,0.12,4-Winter,0.369,1,0.0,0.434,2010.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2010_01_01_0000000000000000005a,671.0,46.0,5-Reindeer,14.1,Rozenfield et al 2012,Rozenfield et al,fecal,0.1,,0.342,0.0,0.0,0.07,5-Spring,0.48,1,0.0,0.58,2010.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2010_01_01_0000000000000000005b,671.0,46.0,5-Reindeer,14.1,Rozenfield et al 2012,Rozenfield et al,fecal,0.121,,0.64,0.013,0.01,0.039,2-Summer,0.173,1,0.0,0.294,2010.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2010_01_01_0000000000000000005c,671.0,46.0,5-Reindeer,14.1,Rozenfield et al 2012,Rozenfield et al,fecal,0.055,,0.536,0.026,0.02,0.11,3-Autumn,0.246,2,0.0,0.301,2010.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2010_01_01_00000000000000000004,2212.0,38.0,2-Barren Ground,10.2,Boertje 1984,Boertje,fecal,0.0,0.0,7.0,1.0,38.0,3.0,5-Spring,52.0,6,0.0,52.0,2010.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2010_01_01_00000000000000000005,2212.0,38.0,2-Barren Ground,10.2,Boertje 1984,Boertje,fecal,0.0,6.0,5.0,1.0,28.0,2.0,2-Summer,58.0,6,0.0,58.0,2010.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2010_01_01_00000000000000000006,2212.0,38.0,2-Barren Ground,10.2,Boertje 1984,Boertje,fecal,0.0,4.0,4.0,2.0,68.0,13.0,3-Autumn,11.0,6,0.0,11.0,2010.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2010_01_01_00000000000000000007,2212.0,38.0,2-Barren Ground,10.2,Boertje 1984,Boertje,fecal,0.0,1.0,4.0,1.0,66.0,18.0,4-Winter,11.0,6,0.0,11.0,2010.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2010_01_01_00000000000000000023,2950.0,25.0,2-Barren Ground,13.7,Gustine et al. 2012,Gustine et al.,fecal,0.0,,15.0,,54.0,16.0,4-Winter,15.0,2,0.0,15.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2010_01_01_00000000000000000024,2950.0,25.0,2-Barren Ground,13.7,Gustine et al. 2012,Gustine et al.,fecal,0.0,,5.0,,77.0,13.0,4-Winter,5.0,2,0.0,5.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2010_01_01_0000000000000000002a,2950.0,25.0,2-Barren Ground,13.7,Gustine et al. 2014,Gustine et al.,fecal,0.0,,15.0,,54.0,16.0,4-Winter,15.0,2,0.0,15.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2010_01_01_0000000000000000002b,2950.0,25.0,2-Barren Ground,13.7,Gustine et al. 2014,Gustine et al.,fecal,0.0,,5.0,,77.0,13.0,4-Winter,5.0,2,0.0,5.0,2010.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2010_01_01_00000000000000000075,865.0,17.0,4-Woodland,15.7,Christopherson et al. 2019,Christopherson et al.,fecal,1.0,,0.0,36.0,0.0,,2-Summer,2.0,2,59.0,62.0,2010.0,"{""type"":""Point"",""coordinates"":[66.0700008895896,48.559998413817254]}"
2010_01_01_00000000000000000055,4049.0,28.0,4-Woodland,16.4,Rominger and Oldemeyer 1990,Rominger and Oldemeyer,fecal,0.0,,,,26.6,,4-Winter,0.0,0,31.1,31.1,2010.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2010_01_01_00000000000000000056,4049.0,28.0,4-Woodland,16.4,Rominger and Oldemeyer 1990,Rominger and Oldemeyer,fecal,0.0,,,,62.2,,4-Winter,0.0,0,35.4,35.4,2010.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2010_01_01_00000000000000000057,4049.0,28.0,4-Woodland,16.4,Rominger and Oldemeyer 1990,Rominger and Oldemeyer,fecal,0.0,,,,84.0,,4-Winter,0.0,0,14.0,14.0,2010.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2010_01_01_00000000000000000058,4049.0,28.0,4-Woodland,16.4,Rominger and Oldemeyer 1990,Rominger and Oldemeyer,fecal,0.0,,,,8.8,,4-Winter,0.0,1,20.2,20.2,2010.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2010_01_01_00000000000000000043,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,20.2,,10.9,,4-Winter,44.4,1,0.0,44.4,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_00000000000000000044,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,23.0,,0.0,,4-Winter,23.4,1,0.0,23.4,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_00000000000000000045,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,29.2,,0.0,,4-Winter,32.8,1,0.0,32.8,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_00000000000000000046,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,9.0,,0.0,,5-Spring,41.9,1,0.0,41.9,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_00000000000000000047,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,13.6,,0.0,,5-Spring,43.9,1,0.0,43.9,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_00000000000000000048,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,23.0,,0.0,,1-Calving,54.3,1,0.0,54.3,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_00000000000000000049,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,4.7,,0.0,,2-Summer,86.8,1,0.0,86.8,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_0000000000000000004a,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,15.3,,0.0,,2-Summer,63.9,1,0.0,63.9,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_0000000000000000004b,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,28.4,,0.0,,3-Autumn,31.5,1,0.0,31.5,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_0000000000000000004c,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,25.9,,0.0,,3-Autumn,38.0,1,0.0,38.0,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_0000000000000000004d,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,18.8,,0.0,,3-Autumn,41.9,1,0.0,41.9,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_0000000000000000004e,1590.0,26.0,1-Peary,3.7,Larter and Nagy 2004,Larter and Nagy,fecal,0.0,,26.3,,0.0,,4-Winter,21.2,1,0.0,21.2,2010.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2010_01_01_00000000000000000030,2062.0,26.0,2-Barren Ground,8.8,Gustine et al. 2014,Gustine et al.,fecal,4.0,,10.0,,53.0,18.0,4-Winter,16.0,1,0.0,20.0,2010.0,"{""type"":""Point"",""coordinates"":[115.00000213151867,66.0000019212526]}"
2010_01_01_00000000000000000000,1990.0,29.0,2-Barren Ground,11.3,Barten et al 2001,Barten et al,fecal,7.0,,15.0,0.0,20.0,20.0,2-Summer,38.0,5,0.0,45.0,2010.0,"{""type"":""Point"",""coordinates"":[143.24999920417434,61.429998565506466]}"
2010_01_01_0000000000000000001a,3840.0,21.0,4-Woodland,12.8,Fischer and Gates 2005,Fischer and Gates,fecal,4.1,,7.4,,65.3,2.7,4-Winter,6.4,2,0.1,10.6,2010.0,"{""type"":""Point"",""coordinates"":[136.99999831283512,62.000000994067406]}"
2010_01_01_0000000000000000001e,2448.0,25.0,2-Barren Ground,13.3,Gustine et al. 2012,Gustine et al.,fecal,0.0,,5.0,,68.0,11.0,4-Winter,15.0,2,0.0,15.0,2010.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2010_01_01_0000000000000000001f,2448.0,25.0,2-Barren Ground,13.3,Gustine et al. 2012,Gustine et al.,fecal,4.0,,6.0,,77.0,6.0,4-Winter,7.0,1,0.0,11.0,2010.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2010_01_01_00000000000000000020,2448.0,25.0,2-Barren Ground,13.3,Gustine et al. 2012,Gustine et al.,fecal,0.0,,7.0,,60.0,13.0,4-Winter,18.0,1,0.0,18.0,2010.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2010_01_01_0000000000000000002c,2448.0,25.0,2-Barren Ground,13.3,Gustine et al. 2014,Gustine et al.,fecal,0.0,,5.0,,68.0,11.0,4-Winter,15.0,1,0.0,15.0,2010.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2010_01_01_0000000000000000002d,2448.0,25.0,2-Barren Ground,13.3,Gustine et al. 2014,Gustine et al.,fecal,4.0,,6.0,,77.0,6.0,4-Winter,7.0,1,0.0,11.0,2010.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2010_01_01_0000000000000000002e,2448.0,25.0,2-Barren Ground,13.3,Gustine et al. 2014,Gustine et al.,fecal,1.0,,7.0,,60.0,13.0,4-Winter,18.0,1,0.0,19.0,2010.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2010_01_01_0000000000000000005d,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,13.0,,34.0,,5-Spring,43.0,2,0.0,43.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_0000000000000000005e,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,15.0,,44.0,,5-Spring,17.0,2,0.0,17.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_0000000000000000005f,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,14.0,,34.0,,2-Summer,38.0,2,0.0,38.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000060,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,2.0,,40.0,,2-Summer,50.0,2,0.0,50.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000061,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,10.0,,40.0,,2-Summer,18.0,2,0.0,18.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000062,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,1.0,,64.0,,3-Autumn,15.0,2,0.0,15.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000063,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,19.0,,57.0,,4-Winter,19.0,2,0.0,19.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000064,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,7.4,,47.0,,4-Winter,13.0,2,0.0,13.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000065,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,15.0,,65.0,,5-Spring,12.0,2,0.0,12.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000066,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,18.0,,30.0,,5-Spring,8.2,2,0.0,8.2,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000067,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,21.0,,24.0,,2-Summer,36.0,2,0.0,36.0,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000068,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,11.0,,11.0,,2-Summer,18.7,2,0.0,18.7,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_00000000000000000069,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,0.2,,63.0,,3-Autumn,12.7,2,0.0,12.7,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_0000000000000000006a,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,4.2,,46.0,,3-Autumn,11.3,2,0.0,11.3,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_0000000000000000006b,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,6.7,,53.5,,4-Winter,22.5,2,0.0,22.5,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2010_01_01_0000000000000000006c,651.0,35.0,4-Woodland,15.3,Schaefer et al. 2016,Schaefer et al.,fecal,0.0,,4.6,,46.8,,4-Winter,8.7,0,0.0,8.7,2010.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
